pathway,gene_id,gene_name,annotation,log2FC,p_value,logFC_ironlim
Iron uptake and storage,AAP16017.1,entD,enterochelin synthetase%2C component D,-2.3089161,7.914168e-22,2.3089161
Iron uptake and storage,AAP17274.1,sitA,Iron transport protein,-2.2845239,6.22694e-22,2.2845239
Iron uptake and storage,AAP16025.1,fepD,ferric enterobactin (enterochelin) transport protein,-2.2786129,1.466355e-21,2.2786129
Iron uptake and storage,AAP17277.1,sitD,Iron transport protein%2C inner membrane component,-2.2153756,8.37462e-21,2.2153756
Iron uptake and storage,AAP17275.1,sitB,Iron transport protein%2C ATP-binding component,-2.1775527,3.263032e-20,2.1775527
Iron uptake and storage,AAP16023.1,fepC,ATP-binding component of ferric enterobactin transport,-2.1465606,8.053084e-19,2.1465606
Iron uptake and storage,AAP16024.1,fepG,ferric enterobactin transport protein,-2.1169029,1.804501e-18,2.1169029
Iron uptake and storage,AAP17276.1,sitC,Iron transport protein,-2.0849641,9.145425e-19,2.0849641
Iron uptake and storage,AAP19591.1,fhuF,hypothetical protein,-2.057021,2.496296e-18,2.057021
Iron uptake and storage,AAP16027.1,fepB,ferric enterobactin (enterochelin) binding protein,-2.050381,3.570622e-18,2.050381
Iron uptake and storage,AAP16738.1,adhE,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase%3B pyruvate-formate-lyase deactivase,-1.8851255,7.990372e-16,1.8851255
Iron uptake and storage,AAP19359.1,bfr,bacterioferrin,-1.4818124,1.535724e-10,1.4818124
Iron uptake and storage,AAP15686.1,fhuA,outer membrane protein receptor for ferrichrome%2C colicin M%2C and phages T1%2C T5%2C and phi80,-1.3531437,4.387845e-09,1.3531437
Iron uptake and storage,AAP16028.1,entE,2%2C3-dihydroxybenzoate-AMP ligase,-1.2311619,1.609752e-07,1.2311619
Iron uptake and storage,AAP19291.1,feoA,ferrous iron transport protein A,-0.8822116,0.0001151285,0.8822116
Iron uptake and storage,AAP18340.1,exbD,enterochelin transporter (uptake),-0.8277293,0.0002884735,0.8277293
Iron uptake and storage,AAP17332.1,ftn,cytoplasmic ferritin,1.4473897,4.413022e-10,-1.4473897
Oxidative stress response,AAP18021.1,nrdH,glutaredoxin-like protein,-2.1712121,7.962306e-20,2.1712121
Oxidative stress response,AAP17201.1,osmC,osmotically inducible protein,-1.2252464,9.819627e-08,1.2252464
Oxidative stress response,AAP16579.1,grxB,glutaredoxin 2,-1.1846271,2.571836e-07,1.1846271
Oxidative stress response,AAP19597.1,osmY,hyperosmotically inducible periplasmic protein,-1.1594364,4.657005e-07,1.1594364
Oxidative stress response,AAP18635.1,soxR,redox-sensing activator of soxS,-1.0141553,1.214153e-05,1.0141553
Oxidative stress response,AAP16273.1,dps,global regulator protein Dps,-0.9489491,3.372587e-05,0.9489491
Oxidative stress response,AAP17152.1,sodB,superoxide dismutase,1.7949151,1.501563e-14,-1.7949151
Quorum sensing and biofilm,AAP16541.1,csgD,probable csgAB operon transcriptional regulatory protein,-1.0680066,8.560947e-06,1.0680066
Quorum sensing and biofilm,AAP16540.1,csgE,Curli production assembly/transport component CsgE precursor,-0.9860472,9.068488e-05,0.9860472
Quorum sensing and biofilm,AAP16539.1,csgF,Curli production assembly/transport component CsgF precursor,-0.9327149,0.0004275575,0.9327149
Secretion and virulence,YP_001449236.1,ospE2,OspE2,-1.424318,2.285934e-09,1.424318
Secretion and virulence,AAP17259.1,ipaH_4,invasion plasmid antigen,-1.3849525,4.61664e-09,1.3849525
Secretion and virulence,YP_001449237.1,ospE1,OspE1,-1.1102857,2.160506e-06,1.1102857
Secretion and virulence,AAP17392.1,ipaH_5,invasion plasmid antigen,-1.0222542,1.853092e-05,1.0222542
Secretion and virulence,NP_858359.2,ipaH9,invasion plasmid antigen%2C secreted by the Mxi-Spa secretion machinery,-0.9813927,1.83118e-05,0.9813927
Secretion and virulence,NP_858136.1,ospB,OspB protein,-0.9339899,4.602051e-05,0.9339899
Secretion and virulence,NP_858260.2,ipaC,IpaC%2C secreted by the Mxi-Spa secretion machinery%2C required for entry into epithelial cells,-0.9216337,5.418503e-05,0.9216337
Secretion and virulence,NP_858258.1,ipaA,hypothetical protein,-0.9109932,6.586717e-05,0.9109932
Secretion and virulence,NP_858270.1,mxiH,Mxi-Spa secretion machinery protein MxiH,-0.8753344,0.0001248055,0.8753344
Secretion and virulence,NP_858259.1,ipaD,hypothetical protein,-0.8703382,0.0001360791,0.8703382
Secretion and virulence,NP_858265.1,icsB,IcsB%2C invasion protein,-0.8447148,0.0002120752,0.8447148
Secretion and virulence,NP_858261.1,ipaB,IpaB%2C secreted by the Mxi-Spa secretion machinery%2C required for entry into epithelial cells,-0.8433559,0.0002165468,0.8433559
Secretion and virulence,NP_858274.2,mxiN,Mxi-Spa secretion machinery protein MxiN,-0.8430039,0.0002182087,0.8430039
Secretion and virulence,NP_858271.1,mxiI,Mxi-Spa secretion machinery protein MxiI,-0.8167854,0.000339234,0.8167854
Secretion and virulence,NP_858275.1,mxiL,Mxi-Spa secretion machinery protein MxiL,-0.8152345,0.0003493588,0.8152345
Secretion and virulence,NP_858273.1,mxiK,Mxi-Spa secretion machinery protein MxiK,-0.8067827,0.0003999564,0.8067827
Secretion and virulence,NP_858211.1,ipaH7,invasion plasmid antigen,-0.8013649,0.0004802425,0.8013649
