pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1004,nadA,quinolinate synthetase A ,PA1004_nadA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4771,lldD,L-lactate dehydrogenase ,PA4771_lldD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5046,---,malic enzyme ,PA5046_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1002,phnB,anthranilate synthase component II ,PA1002_phnB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3517,---,probable lyase ,PA3517_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4666,hemA,glutamyl-tRNA reductase ,PA4666_hemA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2343,mtlY,xylulose kinase ,PA2343_mtlY_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1384,galE,UDP-glucose 4-epimerase ,PA1384_galE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5263,argH,argininosuccinate lyase ,PA5263_argH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2250,lpdV,lipoamide dehydrogenase-Val ,PA2250_lpdV_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1146,---,probable iron-containing alcohol dehydrogenase ,PA1146_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0035,trpA,tryptophan synthase alpha chain ,PA0035_trpA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4007,proA,gamma-glutamyl phosphate reductase ,PA4007_proA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2923,hisJ,periplasmic histidine-binding protein HisJ ,PA2923_hisJ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0552,pgk,phosphoglycerate kinase ,PA0552_pgk_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2507,catA,"catechol 1,2-dioxygenase ",PA2507_catA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1781,nirB,assimilatory nitrite reductase large subunit ,PA1781_nirB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1400,---,probable pyruvate carboxylase ,PA1400_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0235,pcaK,4-hydroxybenzoate transporter PcaK ,PA0235_pcaK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0009,glyQ,glycyl-tRNA synthetase alpha chain ,PA0009_glyQ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4905,vanB,vanillate O-demethylase oxidoreductase ,PA4905_vanB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1498,pykF,pyruvate kinase I ,PA1498_pykF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2926,hisP,histidine transport protein HisP ,PA2926_hisP_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5192,pckA,phosphoenolpyruvate carboxykinase ,PA5192_pckA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2104,---,probable cysteine synthase ,PA2104_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5060,phaF,polyhydroxyalkanoate synthesis protein PhaF ,PA5060_phaF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1754,cysB,transcriptional regulator CysB ,PA1754_cysB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4519,---,probable ornithine decarboxylase ,PA4519_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3296,phoA,alkaline phosphatase ,PA3296_phoA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3416,---,"probable pyruvate dehydrogenase E1 component, beta chain ",PA3416_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1614,gpsA,"glycerol-3-phosphate dehydrogenase, biosynthetic ",PA1614_gpsA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4092,hpaC,4-hydroxyphenylacetate 3-monooxygenase small chain ,PA4092_hpaC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2518,xylX,"toluate 1,2-dioxygenase alpha subunit ",PA2518_xylX_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0609,trpE,anthranilate synthetase component I ,PA0609_trpE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3834,valS,valyl-tRNA synthetase ,PA3834_valS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1780,nirD,assimilatory nitrite reductase small subunit ,PA1780_nirD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3736,hom,homoserine dehydrogenase ,PA3736_hom_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4443,cysD,ATP sulfurylase small subunit ,PA4443_cysD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3014,faoA,fatty-acid oxidation complex alpha-subunit ,PA3014_faoA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2709,cysK,cysteine synthase A ,PA2709_cysK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1757,thrH,homoserine kinase ,PA1757_thrH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4402,argJ,glutamate N-acetyltransferase ,PA4402_argJ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4733,acsB,acetyl-coenzyme A synthetase ,PA4733_acsB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3151,hisF2,"imidazoleglycerol-phosphate synthase, cyclase subunit ",PA3151_hisF2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5373,betB,betaine aldehyde dehydrogenase ,PA5373_betB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4442,cysN,ATP sulfurylase GTP-binding subunit,PA4442_cysN_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2943,---,phospho-2-dehydro-3-deoxyheptonate aldolase ,PA2943_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4960,---,probable phosphoserine phosphatase ,PA4960_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3117,asd,aspartate semialdehyde dehydrogenase ,PA3117_asd_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5013,ilvE,branched-chain amino acid transferase ,PA5013_ilvE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5570,rpmH,50S ribosomal protein L34 ,PA5570_rpmH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2443,sdaA,L-serine dehydratase ,PA2443_sdaA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5119,glnA,glutamine synthetase ,PA5119_glnA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3590,---,probable hydroxyacyl-CoA dehydrogenase ,PA3590_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3591,---,probable enoyl-CoA hydratase,PA3591_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2470,gtdA,"gentisate 1,2-dioxygenase ",PA2470_gtdA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0895,aruC,N-succinylglutamate 5-semialdehyde dehydrogenase ,PA0895_aruC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5350,rubA2,rubredoxin ,PA5350_r_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3417,---,"probable pyruvate dehydrogenase E1 component, alpha subunit ",PA3417_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1375,pdxB,erythronate-4-phosphate dehydrogenase ,PA1375_pdxB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2261,---,probable 2-ketogluconate kinase ,PA2261_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0037,trpI,transcriptional regulator TrpI ,PA0037_trpI_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5302,dadX,catabolic alanine racemase ,PA5302_dadX_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2717,cpo,chloroperoxidase precursor ,PA2717_cpo_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2990,---,probable phosphodiesterase ,PA2990_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1931,---,probable ferredoxin ,PA1931_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1684,---,probable oxidase ,PA1684_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5111,gloA3,lactoylglutathione lyase ,PA5111_gloA3_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3658,glnD,protein-PII uridylyltransferase ,PA3658_glnD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2512,antA,anthranilate dioxygenase large subunit ,PA2512_antA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5559,atpE,atp synthase C chain ,PA5559_atpE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4068,---,probable epimerase ,PA4068_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1515,alc,allantoicase ,PA1515_alc_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3769,guaA,GMP synthase ,PA3769_guaA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5439,---,probable glucose-6-phosphate dehydrogenase ,PA5439_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3792,leuA,2-isopropylmalate synthase ,PA3792_leuA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0196,pntB,"pyridine nucleotide transhydrogenase, beta subunit ",PA0196_pntB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1321,cyoE,cytochrome o ubiquinol oxidase protein CyoE ,PA1321_cyoE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2098,---,probable esterase,PA2098_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4329,pykA,pyruvate kinase II ,PA4329_pykA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0390,metX,homoserine O-acetyltransferase ,PA0390_metX_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4124,hpcB,"homoprotocatechuate 2,3-dioxygenase ",PA4124_hpcB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3357,dsdA,D-serine dehydratase ,PA3357_dsdA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2996,nqrD,Na+-translocating NADH:uniquinone oxidoreductase subunit Nqr4 ,PA2996_nqrD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5215,gcvT1,glycine-cleavage system protein T1 ,PA5215_gcvT1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3165,hisC2,histidinol-phosphate aminotransferase ,PA3165_hisC2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1010,dapA,dihydrodipicolinate synthase ,PA1010_dapA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2247,bkdA1,2-oxoisovalerate dehydrogenase (alpha subunit) ,PA2247_bkdA1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3139,---,probable amino acid aminotransferase ,PA3139_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0854,fumC2,fumarate hydratase ,PA0854_fumC2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0223,---,probable dihydrodipicolinate synthetase ,PA0223_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5140,hisF1,"imidazoleglycerol-phosphate synthase, cyclase subunit ",PA5140_hisF1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4560,ileS,isoleucyl-tRNA synthetase ,PA4560_ileS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2649,nuoN,NADH dehydrogenase I chain N ,PA2649_nuoN_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4670,prs,ribose-phosphate pyrophosphokinase ,PA4670_prs_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0872,phhA,phenylalanine-4-hydroxylase ,PA0872_phhA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2624,idh,isocitrate dehydrogenase ,PA2624_idh_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4865,ureA,urease gamma subunit ,PA4865_ureA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4590,pra,protein activator ,PA4590_pra_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4571,---,probable cytochrome c ,PA4571_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1681,aroC,chorismate synthase ,PA1681_aroC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0901,aruE,succinylglutamate desuccinylase ,PA0901_aruE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5035,gltD,glutamate synthase small chain ,PA5035_gltD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2514,antC,anthranilate dioxygenase reductase ,PA2514_antC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5161,rmlB,"dTDP-D-glucose 4,6-dehydratase ",PA5161_rmlB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4839,speA,biosynthetic arginine decarboxylase ,PA4839_speA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2290,gcd,glucose dehydrogenase ,PA2290_gcd_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2998,nqrB,Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq2 ,PA2998_nqrB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0482,glcB,malate synthase G ,PA0482_glcB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4331,---,probable ferredoxin reductase ,PA4331_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5036,gltB,glutamate synthase large chain precursor ,PA5036_gltB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0668,tyrZ,tyrosyl-tRNA synthetase 2 ,PA0668_tyrZ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2416,treA,periplasmic trehalase precursor ,PA2416_treA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3164,---,still frameshift 3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE prephenate dehydrogenase ,PA3164_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5142,hisH1,glutamine amidotransferase ,PA5142_hisH1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3569,mmsB,3-hydroxyisobutyrate dehydrogenase ,PA3569_mmsB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2796,tal,transaldolase ,PA2796_tal_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2446,gcvH2,glycine cleavage system protein H2 ,PA2446_gcvH2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0113,---,probable cytochrome c oxidase assembly factor ,PA0113_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0782,putA,proline dehydrogenase PutA ,PA0782_putA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4809,fdhE,FdhE protein ,PA4809_fdhE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0896,aruF,arginine,PA0896_aruF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5056,phaC1,poly(3-hydroxyalkanoic acid) synthase 1 ,PA5056_phaC1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0654,speD,S-adenosylmethionine decarboxylase proenzyme ,PA0654_speD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5057,phaD,poly(3-hydroxyalkanoic acid) depolymerase ,PA5057_phaD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2513,antB,anthranilate dioxygenase small subunit ,PA2513_antB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5129,grx,glutaredoxin ,PA5129_grx_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4904,vanA,vanillate O-demethylase oxygenase subunit ,PA4904_vanA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0214,---,probable acyl transferase ,PA0214_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4846,aroQ1,3-dehydroquinate dehydratase ,PA4846_aroQ1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0904,lysC,aspartate kinase alpha and beta chain ,PA0904_lysC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3735,thrC,threonine synthase ,PA3735_thrC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0331,ilvA1,"threonine dehydratase, biosynthetic ",PA0331_ilvA1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4138,tyrS,tyrosyl-tRNA synthetase ,PA4138_tyrS_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2084,---,probable asparagine synthetase ,PA2084_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4864,ureD,urease accessory protein ,PA4864_ureD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5206,argE,acetylornithine deacetylase ,PA5206_argE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5349,---,probable rubredoxin reductase ,PA5349_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2999,nqrA,Na+-translocating NADH:ubiquinone oxidoreductase subunit Nrq1 ,PA2999_nqrA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1586,sucB,dihydrolipoamide succinyltransferase (E2 subunit) ,PA1586_sucB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3636,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase ,PA3636_kdsA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4640,mqoB,malate:quinone oxidoreductase ,PA4640_mqoB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0363,coaD,phosphopantetheine adenylyltransferase ,PA0363_coaD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0245,aroQ2,3-dehydroquinate dehydratase ,PA0245_aroQ2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1502,gcl,glyoxylate carboligase ,PA1502_gcl_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5436,---,probable biotin carboxylase subunit of a transcarboxylase ,PA5436_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2680,---,probable quinone oxidoreductase ,PA2680_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2442,gcvT2,glycine cleavage system protein T2 ,PA2442_gcvT2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2925,hisM,histidine transport system permease HisM ,PA2925_hisM_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2248,bkdA2,2-oxoisovalerate dehydrogenase (beta subunit) ,PA2248_bkdA2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5110,fbp,"fructose-1,6-bisphosphatase ",PA5110_fbp_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1421,gbuA,agmatinase ,PA1421_speB2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3471,---,probable malic enzyme ,PA3471_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2249,bkdB,branched-chain alpha-keto acid dehydrogenase (lipoamide component) ,PA2249_bkdB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1020,---,probable acyl-CoA dehydrogenase ,PA1020_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5067,hisE,phosphoribosyl-ATP pyrophosphohydrolase ,PA5067_hisE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5297,poxB,pyruvate dehydrogenase (cytochrome) ,PA5297_poxB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0548,tktA,transketolase ,PA0548_tktA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1756,cysH,3'-phosphoadenosine-5'-phosphosulfate reductase ,PA1756_cysH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1982,exaA,quinoprotein alcohol dehydrogenase ,PA1982_exaA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1999,---,"probable CoA transferase, subunit A ",PA1999_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4956,rhdA,thiosulfate sulfurtransferase ,PA4956_rhdA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0316,serA,D-3-phosphoglycerate dehydrogenase ,PA0316_serA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5288,glnK,nitrogen regulatory protein P-II 2 ,PA5288_glnK_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3025,---,probable FAD-dependent glycerol-3-phosphate dehydrogenase ,PA3025_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5557,atpH,ATP synthase delta chain ,PA5557_atpH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2715,---,probable ferredoxin ,PA2715_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2510,catR,transcriptional regulator CatR ,PA2510_catR_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5058,phaC2,poly(3-hydroxyalkanoic acid) synthase 2 ,PA5058_phaC2_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1585,sucA,2-oxoglutarate dehydrogenase (E1 subunit) ,PA1585_sucA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2821,---,probable glutathione S-transferase ,PA2821_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4731,panD,aspartate 1-decarboxylase precursor ,PA4731_panD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3032,snr1,cytochrome c ,PA3032_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2995,nqrE,Na+-translocating NADH:quinone oxidoreductase subunit Nqr5 ,PA2995_nqrE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0887,acsA,acetyl-coenzyme A synthetase ,PA0887_acsA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2664,fhp,flavohemoprotein ,PA2664_fhp_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2629,purB,adenylosuccinate lyase ,PA2629_purB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4938,purA,adenylosuccinate synthetase ,PA4938_purA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0208,mdcA,malonate decarboxylase alpha subunit ,PA0208_mdcA_at,,
