pathway,ontology,frozen,locus,symbol,description,probe,added_rev3,reason
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0870,phhC,aromatic amino acid aminotransferase ,PA0870_phhC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4548,---,probable D-amino acid oxidase ,PA4548_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2994,nqrF,"Na+-translocating NADH:quinone oxidoreductase, subunit Nqr6 ",PA2994_nqrF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0106,coxA,"cytochrome c oxidase, subunit I ",PA0106_coxA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5300,cycB,cytochrome c5 ,PA5300_cycB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0132,---,beta-alanine--pyruvate transaminase ,PA0132_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0794,---,probable aconitate hydratase ,PA0794_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4810,fdnI,"nitrate-inducible formate dehydrogenase, gamma subunit ",PA4810_fdnI_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0353,ilvD,dihydroxy-acid dehydratase ,PA0353_ilvD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3452,mqoA,malate:quinone oxidoreductase ,PA3452_mqoA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0517,nirC,probable c-type cytochrome precursor ,PA0517_nirC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4811,fdnH,"nitrate-inducible formate dehydrogenase, beta subunit ",PA4811_fdnH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4430,---,probable cytochrome b ,PA4430_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0792,prpD,propionate catabolic protein PrpD ,PA0792_prpD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1589,sucD,succinyl-CoA synthetase alpha chain ,PA1589_sucD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4429,---,probable cytochrome c1 precursor ,PA4429_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1787,acnB,aconitate hydratase 2 ,PA1787_acnB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0525,---,probable dinitrification protein NorD ,PA0525_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3396,nosL,NosL protein ,PA3396_nosL_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4333,---,probable fumarase ,PA4333_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2642,nuoG,NADH dehydrogenase I chain G ,PA2642_nuoG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1551,---,probable ferredoxin ,PA1551_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1584,sdhB,succinate dehydrogenase (B subunit) ,PA1584_sdhB_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0521,---,probable cytochrome c oxidase subunit ,PA0521_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5490,cc4,cytochrome c4 precursor ,PA5490_cc4_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1562,acnA,aconitate hydratase 1 ,PA1562_acnA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0400,---,probable cystathionine gamma-lyase ,PA0400_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4130,---,probable sulfite or nitrite reductase ,PA4130_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2641,nuoF,NADH dehydrogenase I chain F ,PA2641_nuoF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2393,---,probable dipeptidase precursor ,PA2393_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4470,fumC1,fumarate hydratase ,PA4470_fumC1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0918,---,cytochrome b561 ,PA0918_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3121,leuC,3-isopropylmalate dehydratase large subunit ,PA3121_leuC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0511,nirJ,heme d1 biosynthesis protein NirJ ,PA0511_nirJ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0510,---,probable uroporphyrin-III c-methyltransferase ,PA0510_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3524,gloA1,lactoylglutathione lyase ,PA3524_gloA1_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0513,---,probable transcriptional regulator ,PA0513_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0514,nirL,heme d1 biosynthesis protein NirL ,PA0514_nirL_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3394,nosF,NosF protein ,PA3394_nosF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0512,---,conserved hypothetical protein ,PA0512_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2265,---,gluconate dehydrogenase ,PA2265_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0509,nirN,probable c-type cytochrome ,PA0509_nirN_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0515,---,probable transcriptional regulator ,PA0515_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2382,lldA,L-lactate dehydrogenase ,PA2382_lldA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2953,---,electron transfer flavoprotein-ubiquinone oxidoreductase ,PA2953_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0516,nirF,heme d1 biosynthesis protein NirF ,PA0516_nirF_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0518,nirM,cytochrome c-551 precursor ,PA0518_nirM_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3395,nosY,NosY protein ,PA3395_nosY_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2531,---,probable aminotransferase ,PA2531_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA3120,leuD,3-isopropylmalate dehydratase small subunit ,PA3120_leuD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0520,nirQ,regulatory protein NirQ ,PA0520_nirQ_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4812,fdnG,"formate dehydrogenase-O, major subunit ",PA4812_fdnG_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2640,nuoE,NADH dehydrogenase I chain E ,PA2640_nuoE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5429,aspA,aspartate ammonia-lyase ,PA5429_aspA_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA4695,ilvH,acetolactate synthase isozyme III small subunit ,PA4695_ilvH_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1162,dapE,succinyl-diaminopimelate desuccinylase ,PA1162_dapE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1582,sdhD,succinate dehydrogenase (D subunit) ,PA1582_sdhD_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA1554,---,probable cytochrome oxidase subunit (cbb3-type) ,PA1554_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA5354,glcE,glycolate oxidase subunit GlcE ,PA5354_glcE_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA2300,chiC,chitinase ,PA2300_chiC_at,,
Central carbon and amino acid metabolism,PseudoCAP,2026-09-08,PA0102,---,probable carbonic anhydrase ,PA0102_at,,
