contrast,series,organism,strain,treatment,control,medium,n_per_group,pairing,platform,technology,normalization,stat_method,identifiers,probes,sig_genes,raw_available,role
2vs1,GSE81364,Pseudomonas aeruginosa,alkylquinolone-null (delta-4AQ) mutant,40 uM HHQ,LB,LB,2,paired by experiment day (A/B),Affymetrix P. aeruginosa array (PseudoCAP annotation),microarray,submitter (see summary PDF),paired moderated t-test (limma-style),PAxxxx locus tags,5886,0,"yes (GSE81364_RAW.tar, 10 CEL)",quantitative reanalysis
3vs1,GSE81364,Pseudomonas aeruginosa,alkylquinolone-null (delta-4AQ) mutant,40 uM PQS,LB,LB,2,paired by experiment day (A/B),Affymetrix P. aeruginosa array (PseudoCAP annotation),microarray,submitter (see summary PDF),paired moderated t-test (limma-style),PAxxxx locus tags,5886,227,"yes (GSE81364_RAW.tar, 10 CEL)",quantitative reanalysis
4vs1,GSE81364,Pseudomonas aeruginosa,alkylquinolone-null (delta-4AQ) mutant,40 uM HQNO,LB,LB,2,paired by experiment day (A/B),Affymetrix P. aeruginosa array (PseudoCAP annotation),microarray,submitter (see summary PDF),paired moderated t-test (limma-style),PAxxxx locus tags,5886,1,"yes (GSE81364_RAW.tar, 10 CEL)",quantitative reanalysis
5vs1,GSE81364,Pseudomonas aeruginosa,alkylquinolone-null (delta-4AQ) mutant,1 mM IPTG,LB,LB,2,paired by experiment day (A/B),Affymetrix P. aeruginosa array (PseudoCAP annotation),microarray,submitter (see summary PDF),paired moderated t-test (limma-style),PAxxxx locus tags,5886,210,"yes (GSE81364_RAW.tar, 10 CEL)",quantitative reanalysis
