ID_REF,logFC,t,P.Value,adj.P.Val,locus,sig
ig_1046911_1047549_at,-0.2144043263999995,-0.9552096002428654,0.38333933583569185,0.7614000902422813,,False
ig_1047549_1046911_at,-0.7478101331999998,-4.381138167331968,0.007146975424071437,0.09582482311180973,,False
ig_1063544_1064555_at,0.004408201400000422,0.0215919394108037,0.9836086390476672,0.9965259596864794,,False
ig_1064555_1063544_at,0.008497314949999613,0.0533842353126743,0.9594930596129493,0.9897732372961713,,False
ig_1087095_1087843_at,0.05206887810000005,0.3187855973255215,0.7627757162442147,0.9403203852199687,,False
ig_1087843_1087095_at,0.08497153184999995,0.5331638315056267,0.6167576398908241,0.8840461541097148,,False
ig_1117390_1118158_at,-0.03763411679999962,-0.2178985005213345,0.836121771247974,0.9627176732327025,,False
ig_1118158_1117390_at,0.06506200444999966,0.3917256678137112,0.7113996016205691,0.9233164875819249,,False
ig_1204781_1205771_at,-0.00593887134999882,-0.03701004119383434,0.9719091765654049,0.9940985203938076,,False
ig_1205771_1204781_at,-0.051657925800000726,-0.29164705900237387,0.7822690322429627,0.9477613507551366,,False
ig_1246788_1247932_at,-0.022746305449999227,-0.14332201366140457,0.8916328423330887,0.9745229179117672,,False
ig_1247932_1246788_at,-0.03149719104999971,-0.1977283890861253,0.8510448673940705,0.9660270328716476,,False
ig_1254309_1255042_at,-0.2555012000500003,-1.499168472993938,0.19411086621904372,0.5817001592045461,,False
ig_1255042_1254309_at,-0.21629605899999937,-1.3925332897361438,0.22251509375309758,0.6186697410631707,,False
ig_1324109_1324793_at,-0.07269733089999963,-0.46900219119755776,0.6588060735425403,0.904321956359933,,False
ig_1324793_1324109_at,0.03116738529999985,0.19936025498195456,0.8498347802356466,0.9660270328716476,,False
ig_1348401_1349416_at,-0.013777856549999967,-0.08204760081095397,0.9377920954919523,0.9864272489053094,,False
ig_1349416_1348401_at,-0.19238666599999998,-1.1629509073749038,0.2973300592423438,0.6928284753366728,,False
ig_1427453_1428080_at,-0.11794837415000003,-0.6691937007572264,0.5330245900387564,0.8495240691935472,,False
ig_1428080_1427453_at,0.025156283650000333,0.12976441760982102,0.9018115704748559,0.9768242369920872,,False
ig_1489095_1489815_at,0.01914746894999997,0.12291533221691747,0.9069619923709552,0.9779955293250645,,False
ig_1489815_1489095_at,0.04649387934999982,0.29921930790064766,0.7768109437802029,0.9459838057745311,,False
ig_1553675_1554415_at,-0.02337152585000002,-0.15156845807453465,0.8854530129205372,0.9734987698676052,,False
ig_1554415_1553675_at,0.11414721015000007,0.6970108884057663,0.5168652555648746,0.8433850004784389,,False
ig_1637696_1638379_at,-0.13486398239999975,-0.8388636454713501,0.43979648104309277,0.7994929183867419,,False
ig_1638379_1637696_at,-0.02415169350000035,-0.1499464256805877,0.8866678398335425,0.9734987698676052,,False
